to_keep	game	platforms	editor	developer	gender	type	year
1	100ft Robot Golf	PSVR, PS4	No Goblin	No Goblin	multi	sport	2016
1	Absolver	Xbox One, PS4, PC	Devolver Digital	Slocalap	multi	action / rpg / combat / exploration / Monde ouvert / Aventure / MMORPG / Stratégie	2016
1	Agents of Mayhem	PS4, Xbox One, PC	Deep Silver Volition	Deep Silver Volition	multi	action / monde ouvert / comédie / troisième personne / humour / tir / aventure / science-fiction 	2016
1	Aragami	PC, PS4	Lince Works	Lince Works	m	Infiltration / ninja / assassin / action / aventure / 3e personne / stratégie / magie	2016
1	Attack on Titan	PS4, Xbox One, PC, PS Vita, PS3	Koei Tecmo	Omega Force	multi	action / Hack 'n' slash	2016
1	Batman Arkham VR	PS4	Warner Bros. Interactive Entertainment	Rocksteady Studios	m	Adventure‎, ‎virtual reality	2016
1	Battlefield 1*	PC, PS4, Xbox One	Electronic Arts	DICE	multi	fps / action / war	2016
1	Battlezone	PSVR, PS4, Xbox One, Nintendo Switch	Rebellion	Big Boat Interactive	other	Action Tir	2016
1	Black the Fall [1]	PC	Square Enix	Sand Sailor Studio	m	survie / horreur	2016
1	Brut@l	PS4, PC	Stormcloud Games, Rising Star Games	Stormcloud Games	multi	action / adventure	2016
1	Call of Duty: Infinite Warfare	Xbox One, PC, PS4	Activision	Infinity Ward	multi	fps / action / war	2016
1	Conan Exiles	Xbox One, PC	Funcom	Funcom	multi	Survie / monde ouvert / construction / rpg / action / exploration / gore / Fantasy	2016
1	Cryptark	PS4, PC	Alientrap	Alientrap	other	Action / stratégie / aventure / tir / rogue-lite / rogue-like / robots / science-fiction / tir 	2016
1	Sid Meier's Civilization VI	PC	2K Games	Firaxis Games	multi	gestion / stratégie / histoire / tactique / construction	2016
1	Darkest Dungeon	PS4, PS Vita, PC	Red Hook Studios	Red Hook Studios	multi	RPG / Dark fantasy / Rogue-like / combat / mort / stratégie / horreur / rogue-lite / fantasy	2016
1	Days Gone	PS4	SIEE	Bend Studio	m	Action / aventure / survival horror	2016
1	Death Stranding	PS4	Sony Interactive Entertainment	Kojima Productions	m	Action / exploration	2016
1	Detroit: Become Human	PS4	Sony Interactive Entertainment	Quantic Dream	multi	futur	2016
1	Eagle Flight	PlayStation 4, Microsoft Windows	Ubisoft	Ubisoft	other	simulation / action / vr / vol	2016
1	Everest VR	HTC Vive	Sólfar Studios	Sólfar Studios	other		2016
1	Everspace	Xbox One, PC	ROCKFISH GAMES	ROCKFISH GAMES	m	action / aventure / rogue-like / science-fiction	2016
1	Exile's End	Wii U, PS4, PS Vita	Marvelous	Magnetic Realms	m	action / plateforme	2016
1	Fate/Extella: The Umbral Star	PS4, PS Vita, Nintendo Switch	Marvelous	Marvelous	multi	action / hack 'n' slash	2016
1	Fe	TBA	Electronic Arts	Zoink	other	metroidvania / aventure / action / plate-formes	2016
1	FIFA 17*	Xbox One, PC, PS4	Electronic Arts	Electronic Arts	multi	sport / football	2016
1	Final Fantasy XII: The Zodiac Age	PS4	Square Enix	Square Enix	multi		2016
1	Final Fantasy Brave Exvius 	Android, iOS	Square Enix	Gumi, Alim Co., Ltd.	other	rpg / aventure	2016
1	Forza Horizon 3	Xbox One, W10	Microsoft Games Studios	Playground Games	multi	sport / automobile / course	2016
1	Furi	PS4, PC	The Game Bakers	The Game Bakers	m	Action / Hack 'n' slash / combat / 3e personnage / science-fiction / arcade / Beat them all	2016
1	God of War	PS4	Sony Interactive Entertainment	Sony Santa Monica	m	historique / action / aventure / Hack 'n' slash	2016
1	Gravity Rush 2	PS4	Sony Interactive Entertainment	Japan Studio	f	action /rpg	2016
1	Grow Up	PC, PS4, Xbox One	Ubisoft	Ubisoft	other	aventure / plateformes / robots	2016
1	Gwent: The Witcher Card Game	Xbox One, PC, PS4	CD Projekt	CD Projekt	multi	cartes	2016
1	Halo Wars 2	Xbox One, PC	Microsoft Studios	343 Industries, Creative Assembly	multi	stratégie / extra-terrestre	2016
1	Harmonix Music VR	PSVR	Harmonix	Harmonix	other	musique / rythme	2016
1	Harvest Moon: Skytree Village	3DS	Natsume	Natsume	multi	Jeu de rôles, Simulation, Stratégie, Aventure	2016
1	Headlander	PC, PS4	Adult Swim Games	Double Fine Productions	multi	action / science-fiction / metroidvania / plateformes / comédie / rétro	2016
1	Hitman	PS4, PC, Xbox One	Square Enix	IO Interactive	m	action / infiltration / 3e personne / tactique / tir / monde ouvert / stratégie / narratif / aventure	2016
1	How We Soar	PSVR	Penny Black Studios	Penny Black Studios	f	aventure / action	2016
1	I Am Setsuna [1]	PS4, PC	Square Enix	Tokyo RPG Factory	multi	RPG / combats / narratif / aventure / fantasy	2016
1	Injustice 2 [1]	TBA	Warner Bros. Interactive Entertainment,	NetherRealm Studios	multi	combat / action / narratif	2016
1	Just Dance 2017	Xbox One, PS4, Nintendo NX	Ubisoft	Ubisoft	multi	danse / rythme / sport	2016
1	Killer Instinct Season 3	Xbox One, W10	Xbox Game Studios	Iron Galaxy Studios	multi	combat	2016
1	Killing Floor 2	PC, PS4	Tripwire Interactive	Tripwire Interactive	multi	fps /  Post-apocalyptique / Monstres / horreur / survie	2016
1	King of Fighters XIV	PS4	SNK	SNK	multi	combat / arts martiaux	2016
1	Lawbreakers	PC, PS4	Nexon	Boss Key Productions	multi	FPS / tir	2016
1	Legend of Heroes: Trails of Cold Steel 2	PS3, PS Vita	Marvelous Europe	Nihon Falcom	multi	rpg	2016
1	The Legend of Zelda: Breath of the Wild	Wii U, Nintendo NX	Nintendo	Nintendo EPD	m	action / aventure / rpg	2016
1	LEGO Star Wars: The Force Awakens	Windows, Xbox 360, X1, PS3, PS4, Wii U, PS Vita, 3DS	Warner Bros Games	Traveller's Tales	multi	action / aventure / rpg	2016
1	Loot Rascals	PC, PS4	Hollow Ponds	Hollow Ponds	multi	RPG / Aventure / Rogue-like / cartes /  stratégie / rogue-lite	2016
1	Madden NFL 17 *	PS4, Xbox One	Electronic Arts	Electronic Arts	m	sport / simulation / football américain	2016
1	Mafia 3	PC, Xbox One, PS4	2K Games	Hangar 13	m	Crime / monde ouvert / action / narratif / 3e personne / tir / ave,tire / infiltration / fps	2016
1	Masquerada: Songs and Shadows	PC	Ysbryd Games	Witching Hour Studios	m	RPG / narratif / tactique / drame	2016
1	Monster Hunter Generations	3DS	Capcom	Capcom	multi	tactique / rpg / tour par tour / aventure / action	2016
1	Moto Racer 4	Xbox One, PS4, PC	Microïds	Anuman Interactive	multi	course / moto	2016
1	Mount & Blade 2: Bannerlord	PC	Paradox Interactive	TaleWorlds	multi	rpg / action / combat	2016
1	NHL 17*	Xbox One, PS4	EA Sports	EA Canada	multi	sport / hockey	2016
1	Nioh	PS4	 Koei Tecmo	Team Ninja	m	action / rpg / heroic-fantasy	2016
1	Quake Champions 	PC	Bethesda Softworks	id Software, Saber Interactive	multi	FPS / Tir /  Gore / Action / Science-fiction / Horreur / Lovecraftien	2016
1	Prey	PC, Xbox One, PS4	Bethesda Softworks	Arkane Studios	multi	action /fps / extra-terrestre / futur	2016
1	Psychonauts in the Rhombus of Ruin	PSVR	Double Fine Productions	Double Fine Productions, React Games	m	aventure	2016
1	Pokemon Sun and Moon	3DS	Nintendo	Game Freak	multi	rpg	2016
1	Raw Data	PC - HTC Vive	Survios	Survios	multi	Action / fps / coopération / Stratégie / robots / Horreur / Science-fiction / Futur / survie / tir	2016
1	Resident Evil 7	PlayStation 4, Xbox One et Windows	Capcom	Capcom	m	action / survie / horreur	2016
1	River City: Tokyo Rumble	3DS	Arc System Works	Arc System Works	m	Beat them all	2016
1	Shadow Warrior 2	PC, PS4, Xbox One	Devolver Digital	Flying Wild Hog	m	Action / fps / ninja / combat / tir / Hack 'n' slash / comédie / 1re personne / monde ouvert / aventure / science-fiction 	2016
1	Shantae: Half-Genie Hero	PS4, PS Vita, Switch, Xbox One, PC	WayForward Technologies	Inticreates	f	plateformes / action / aventure / humour / fantasy / comédie	2016
1	Skylanders Imaginators	Xbox One, PS4	Activision	Toys for Bob	multi	action / plateforme	2016
1	Slime Rancher	Xbox One, PC	Monomi Park	Monomi Park	f	exploration / aventure / 1re personne / monde ouvert / humour / fantasy / simulation / gestion / action / fps	2016
1	Sonic Boom: Fire and Ice	3DS	Sega	Sanzaru Games	other	plateformes / action / aventures	2016
1	Spider-Man 	PS4	Sony Interactive Entertainment	Insomniac Games	m	action / aventure	2016
1	Star Trek: Bridge Crew	Oculus Rift, HTC Vive	Ubisoft	Red Storm Entertainment	multi	simulation / rpg / espace	2016
1	Star Wars Battlefront II 	PS4, Xbox One, PC	Electronic Arts	Dice	multi	fps / science-fiction / espace	2016
1	Star Wars: Jedi Fallen Order	Ordinateur personnel, Microsoft Windows, Xbox One, PlayStation 4	Electronic Arts	Respawn Entertainment	m	action / aventure / tir / troisième personne	2016
1	State of Decay 2	Xbox One, PC	Microsoft Studios	Undead Labs	multi	tps / action / post-apocalyptique / zombies	2016
1	Statik	PSVR	Tarsier Studios	Tarsier Studios	other	réflexion / puzzle	2016
1	Steep	Xbox One, PC, PS4	Ubisoft	Ubisoft	multi	sport / montagne	2016
1	Story of Seasons: Trio of Towns	3DS	Marvelous	Marvelous	multi	simulation / rpg	2016
