to_keep	game	platforms	editor	developer	gender	Source explication	Source nom	Source lien	Autre source	Autre source	type	Multijoueur	Date de sortie	Annoncé en
1	100ft Robot Golf†	PSVR, PS4	No Goblin	No Goblin	Multi (choix)	Plusieurs personnages existent, masculins et féminins.	100 ft robots	http://100ftrobotgolf.com/	https://steamcommunity.com/app/368000/discussions/0/133259227529689953/	http://www.gameblog.fr/tests/2575-100ft-robot-golf-ps4	sport	yes	10/10/2016	2015 (Playstation)
1	Absolver	Xbox One, PS4, PC	Devolver Digital	Slocalap	Multi (choix + personnalisation)	Le joueur peut choisir le genre de l'Aspirant qu'il incarne.	Absolver - Character Customization (Youtube)	https://www.youtube.com/watch?v=V-t-NVdIZ4w	https://www.youtube.com/watch?v=6H0QrUVVkLc	https://store.steampowered.com/app/473690/Absolver/?l=french	action / rpg / combat / exploration / Monde ouvert / Aventure / MMORPG / Stratégie	yes	29/08/2017	
0 (2015)	Abzu†	PC, PS4	505 Games	Giant Squid	F	Le joueur incarne une plongeuse, très peu genrée.	Abzu	https://www.abzugame.com/	https://www.gamesradar.com/female-characters-e3-2015/	http://www.jeuxvideo.com/jeux/playstation-4-ps4/00053074-abzu.htm#details	Détente/ exploration / aventure / fantasy / narraitf / 3e personne / action / simulation	no	02/08/2016	
1	Agents of Mayhem	PS4, Xbox One, PC	Deep Silver Volition	Deep Silver Volition	Multi (choix)	Des agents masculins et féminins sont disponibles.	Xbox mag	http://xbox-mag.net/2017/05/09/agents-of-mayhem-devoile-ses-personnages-en-video/	https://jeu.video/action-aventure/agents-of-mayhem/debloquer-agents-vehicules	http://www.deepsilver.com/fr/games/agents-of-mayhem/	action / monde ouvert / comédie / troisième personne / humour / tir / aventure / science-fiction 	yes	15/08/2017	
1	Aragami†	PC, PS4	Lince Works	Lince Works	M	Le joueur incarne un homme.	jeuxvideo.com	http://www.jeuxvideo.com/jeux/pc/jeu-475752/#details	http://aragami-game.com/	https://store.steampowered.com/app/280160/Aragami/?l=french	Infiltration / ninja / assassin / action / aventure / 3e personne / stratégie / magie	yes	04/10/2016	
0 (2015)	ARK: Survial Evolved	Xbox One, PC	Studio Wildcard	Studio Wildcard										
1	Attack on Titan	PS4, Xbox One, PC, PS Vita, PS3	Koei Tecmo	Omega Force	Multi (choix)	Plusieurs personnages, féminins et masculins, sont disponibles.	Attack on Titan (PS4) - All Playable Characters (Youtube)	https://www.youtube.com/watch?v=cythCJBDNYc	http://www.gameblog.fr/tests/2387-attack-on-titan-wings-of-freedom-ps4	https://otakugame.fr/test-3h-avec-attack-on-titan-wings-of-freedom-le-jeu-qui-fait-honneur-a-son-manga/	action / Hack 'n' slash	yes	18/02/2016 (Japon)	
1	Batman Arkham VR	PS4	Warner Bros. Interactive Entertainment	Rocksteady Studios	M			https://fr.ign.com/batman-vr/18802/review/test-batman-arkham-vr	http://www.jeuxvideo.com/jeux/ps4/jeu-503032/	https://www.gamekult.com/jeux/batman-arkham-vr-3050715109.html	Adventure‎, ‎virtual reality	no	10/2016	
1	Battlefield 1†*	PC, PS4, Xbox One	Electronic Arts	DICE	Multi (choix)			https://www.battlefield.com/fr-fr/news/the-single-player-of-battlefield-1	https://www.gamekult.com/jeux/battlefield-1-3050692319/test.html	https://www.ea.com/fr-fr/games/battlefield/battlefield-1	fps / action / war	yes	10/2016	
1	Battlezone†	PSVR, PS4, Xbox One, Nintendo Switch	Rebellion	Big Boat Interactive	gender-ambiguous	Le joueur est aux commandes d'un tank, pas de genre particulier discerné.		https://gamingbolt.com/battlezone-wiki#Characters	https://userguides.eu.playstation.com/fr/battlezone/	http://www.battlezone.com/fr/about	Action Tir	yes	10/2016	
0 (2013)	Below	PC, Xbox One	Capybara Games	Capybara Games	gender-ambiguous	Personnage minuscule, silhouette et héros successifs	IGN (screens)	https://www.ign.com/articles/2018/12/20/below-review	http://www.gameblog.fr/tests/3289-below-xb1-pc	https://www.gamekult.com/jeux/below-3050247063/test.html	Action / aventure / Roguelike	yes	14/12/2018	E3 2013
1	Black the Fall† [1]	PC	Square Enix	Sand Sailor Studio	M	Vieux machiniste		http://www.blackthefall.com/	http://www.jeuxvideo.com/jeux/pc/jeu-488273/#details	https://www.indiemag.fr/jeux/black-fall	survie / horreur	no	11/07/2017	
1	Brut@l†	PS4, PC	Stormcloud Games, Rising Star Games	Stormcloud Games	Multi (choix)	Ranger, Mage, Guerrier ou Amazone		https://store.steampowered.com/app/489260/Brutl/	http://www.jeuxvideo.com/jeux/ps4/jeu-452328/	https://www.youtube.com/watch?v=YDdY99VDwmw	action / adventure		08/2016	
1	Call of Duty: Infinite Warfare	Xbox One, PC, PS4	Activision	Infinity Ward	Multi (choix)			https://www.behindthevoiceactors.com/video-games/Call-of-Duty-Infinite-Warfare/	https://en.wikipedia.org/wiki/Call_of_Duty:_Infinite_Warfare#Characters_and_settings	https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Infinite_Warfare_SATO_Characters	fps / action / war	yes		
0 (version remastérisée)	Call of Duty: Modern Warfare HD	Xbox One, PC, PS4						https://fr.ign.com/call-of-duty-2016-ps4/13550/news/modern-warfare-remastered-le-remake-hd-devoile-son-contenu	https://www.callofduty.com/fr/modern-warfare-remastered					
1	Conan Exiles	Xbox One, PC	Funcom	Funcom	Multi (choix + personnalisation)	On peut choisir le genre du personnage incarné et le personnaliser.	CONAN EXILES - FEMALE CHARACTER CREATION - NO COMMENTARY (Youtube)	https://www.youtube.com/watch?v=ynBBYC1c3X0	https://www.youtube.com/watch?v=y2Ger_NQ7Tg	https://www.youtube.com/watch?v=tiHSOCye59Q	Survie / monde ouvert / construction / rpg / action / exploration / gore / Fantasy	yes	08/05/2018	
0 (nouveau support, ok)	Corpse Party	3DS						https://gamergen.com/actualites/e3-2014-xseed-games-expose-line-up-et-annonce-senran-kagura-bon-appetit-229382-1	http://www.jeuxvideo.com/jeux/3ds/jeu-498385/					
0 (2015)	Cuphead	Xbox One, PC	Studio MDHR	Studio MDHR	M	Jusqu'à la sortie d'un DLC à l'E3 2018, qui propose un personnage féminin, le joueur n'avait le choix qu'entre deux personnages masculins.	Nintendo	https://www.nintendo.fr/Jeux/Jeux-a-telecharger-sur-Nintendo-Switch/Cuphead-1532319.html	https://thecuphead.fandom.com/wiki/Cuphead_(character)	https://cuphead.fandom.com/fr/wiki/Mugman	action/ plateformes /  Dessin animé / Rétro / Shoot 'Em Up 	yes	29/09/2017	
1	Cryptark†	PS4, PC	Alientrap	Alientrap	gender-ambiguous	Le joueur incarne un mercenaire dont on ne peut distinguer clairement le genre, même s'il semble masculin.	Imgur	https://imgur.com/r/IndieGaming/5Yr0U	https://www.cryptark.com/	http://www.graal.fr/2017/07/24/test-cryptark-la-version-pour-steam/	Action / stratégie / aventure / tir / rogue-lite / rogue-like / robots / science-fiction / tir 	yes	20/06/2017	
1	Sid Meier's Civilization VI	PC	2K Games	Firaxis Games	Multi (choix)	Le joueur a le choix entre plusieurs digirigeants et dirigeantes historiques.	Civilization	https://civilization.com/fr-FR/news/entries/en-civilization-vi-qin-shi-huang-leads-china/	https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/	http://www.gameblog.fr/tests/2597-sid-meier-s-civilization-vi-pc	gestion / stratégie / histoire / tactique / construction	yes	21/10/2016	2016
0 (extension)	Destiny: Rise of Iron	PS4, Xbox One												
1	Darkest Dungeon†	PS4, PS Vita, PC	Red Hook Studios	Red Hook Studios	Multi (choix)	Le joueur peut choisir pour son équipe différents héros et héroines.	Warrior Women Own - Let's Play Darkest Dungeon Part 3 (Youtube)	https://www.youtube.com/watch?v=84Mzvan_YT0	https://www.actugaming.net/test-darkest-dungeon-allez-souffrir-sourire-17667/	http://www.jeuxvideo.com/test/448964/darkest-dungeon-fifty-shades-darkest.htm	RPG / Dark fantasy / Rogue-like / combat / mort / stratégie / horreur / rogue-lite / fantasy	no	19/01/2016	
1	Days Gone	PS4	SIEE	Bend Studio	M	"Set in the beautiful, volcanic scarred high-desert of the Pacific Northwest, Days Gone is an open-world action-adventure game where you play as Deacon St. John, a Drifter and bounty hunter who would rather risk the dangers of the broken road than live in one of the “safe” wilderness encampments. "	Bend Studio	https://bendstudio.com/games/days-gone/	https://gamerant.com/days-gone-protagonist-no-custom-appearance/	https://daysgone.fandom.com/wiki/Days_Gone_Wiki	Action / aventure / survival horror	no	26/04/2019	
1	Death Stranding	PS4	Sony Interactive Entertainment	Kojima Productions	M	Le joueur incarne Sam Bridges, un homme "qui brave un monde mortel et mystérieux où la mort se tapit dans tous les recoins. Transportez les vestiges de l'avenir et embarquez dans un voyage pour reconstruire un monde brisé, petit à petit".	Death Stranding - E3 2018 4K Trailer | PS4	https://www.youtube.com/watch?v=rP3UngLFou4	https://www.senscritique.com/jeuvideo/Death_Stranding/21588200	http://jstationx.com/2018/06/12/death-stranding-female-characters-trailer-e3-2018/	Action / exploration	yes	2019	2016
