Prendre en compte	game	platforms	editor	developer	gender	Type	Multijoueur	Date
1	Adventure Time: Pirates of the Enchiridion	Nintendo Switch, PS4, Xbox One, PC	Outright Games	Climax Studios	Multi	aventure / cartoon		17/07/2018
1	Afterparty	Xbox One, PC, PS4	Night School Studio	Night School Studio	Multi	aventure		2019
1	Assassin's Creed Odyssey †	PC, Xbox One, PS4	Ubisoft	Ubisoft	Multi	Action / aventure / Infiltration / RPG / Historique		05/10/2018
1	Assetto Corsa Competizione †	PC	505 Games	Kunos Simulazioni	Autre	Racing simulation	yes	12/09/2018
1	Astro Bot†	PS4 VR	SIE Japan Studio	Sony Interactive Entertainment	Autre	Action / Plateforme	no	02/10/2018
1	The Awesome Adventures of Captain Spirit	PS4, Xbox One, PC	Square Enix	DONTNOD Entertainment	M	aventure	no	25/06/2018
1	Battlefield V	PS4, Xbox One, PC	Electronic Arts	DICE	Multi	FPS	yes	09/11/2018
1	Battletoads	Xbox One, PC	Microsoft	DLaLa Studios	Autre	Action	yes	2019
1	Beyond Good and Evil 2	TBA	Ubisoft	Ubisoft	Multi	Action / Aventure	yes	/
1	Beat Saber †	PC, PS4 VR	Hyperbolic Magnetism	Hyperbolic Magnetism	Autre		yes	20/11/2018
1	Blood and Truth †	PS4 VR	Sony Interactive Entertainment	SIE London Studio	Autre	Tir	yes	31/12/2019
1	Bomber Crew	PC, Xbox One, PS4, Switch	Curve Digital	Runner Duck	Multi	simulation / stratégie	yes	19/10/2017
1	Call of Duty: Black Ops 4 †	PC, PS4, Xbox One	Activision	Treyarch	Multi	Tir	yes	12/10/2018
1	Children of Morta	PS4, Xbox One, PC	11 bit studios	"	Dead Mage"	Multi	action / aventure / rpg	yes	2019
1	Command and Conquer: Rivals	Android, IOS	Electronic Arts	EA Redwood Studios	Multi	stratégie / rts	yes	04/12/2018
1	Control	PS4, Xbox One, PC	505 Games	Remedy Entertainment	F	action / aventure / troisième personne / TPS / science-fiction / supernaturel	no	2019
1	Creed: Rise to Glory †	PS4 VR	Survios	Survios	M	action / fitness / sport		25/09/2018
1	Cyberpunk 2077	PC, Xbox One, PS4	CD Projekt	CD Project Red	Multi	Action-RPG	yes	/
1	Daemon X Machina	Nintendo Switch	Nintendo	Marvelous Inc.	Multi	Action	1	2019
